title,video_url,thumbnail,thumbnail_id,6_way_label,2_way_label
Arif Lohar Another Sad News|Famous Singer Arif lohar|Arif Lohar Family,https://www.youtube.com/watch?v=alWNbnBzxsk,https://i.ytimg.com/vi/alWNbnBzxsk/hqdefault.jpg,alWNbnBzxsk,imposter content,FALSE
SECRETS HIDDEN IN THE BOOMERANG VIDEO!!!,https://youtube.com/watch?v=XTeTxbe-mX4,https://i.ytimg.com/vi/XTeTxbe-mX4/sddefault.jpg,isHl0qX6mNM,manipulated,FALSE
Old Man Digs Mountains for 36 years - What Happened Next ?,https://www.youtube.com/watch?v=0kS3skqk89w,https://i.ytimg.com/vi/0kS3skqk89w/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDLrPonwYydk6O8v4HqwkMxbgwfVA,0kS3skqk89w,manipulated,FALSE
US vs UK Food Wars Season 1,https://youtube.com/watch?v=hJnlk0JraC0,https://i.ytimg.com/vi/hJnlk0JraC0/sddefault.jpg,Ke0YxOsHRCo,TRUE,TRUE
Interesting Facts About Jahangir Tareen PTI | Imran Khan | Shan Ali TV,https://www.youtube.com/watch?v=yTqGBBy2TJo,https://i.ytimg.com/vi/yTqGBBy2TJo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBWqtYymxwEkPKPsdn-g63yHPEW3A,yTqGBBy2TJo,manipulated,FALSE
laughing lion,https://youtube.com/watch?v=z2P5EuqoWuk,https://i.ytimg.com/vi/z2P5EuqoWuk/hqdefault.jpg,z2P5EuqoWuk,imposter content,FALSE
Islamabad The Capital of Pakistan,https://www.youtube.com/watch?v=mXXMhka3iE8,https://i.ytimg.com/vi/mXXMhka3iE8/hqdefault.jpg,mXXMhka3iE8,TRUE,TRUE
10 Pakistani Child Stars Who Are All Grown Up Now,https://www.youtube.com/watch?v=Nt3Vr4-AHms,https://i.ytimg.com/vi/Nt3Vr4-AHms/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCssVUs6EWoly45_Hpme9wcOn8tsg,Nt3Vr4-AHms,misleading,FALSE
Dania Shah get a share from Aamir Liaquat's property - @Samaa Originals - 13 June 2022,https://www.youtube.com/watch?v=MAqTdug2Agk,https://i.ytimg.com/vi/MAqTdug2Agk/maxresdefault.jpg,MAqTdug2Agk,paroday,FALSE
#BbcPakistanNews# Fog Increased Be Aware 13 Feb 2021,https://www.youtube.com/watch?v=01Njz-Gd7JU,https://i.ytimg.com/vi/01Njz-Gd7JU/maxresdefault.jpg,01Njz-Gd7JU,imposter content,FALSE
11 Funny Moments in Cricket History Ever,https://www.youtube.com/watch?v=P9aegEQID34,https://i.ytimg.com/vi/P9aegEQID34/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDkRdUbALho9W4GDLUNTl-yCK_Kgg,P9aegEQID34,paroday,FALSE
Grossest Things Found in Food - Reality Tv,https://www.youtube.com/watch?v=uSlQ5CLkoW8,https://i.ytimg.com/vi/uSlQ5CLkoW8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBW90ApjCkRATZLW-k5_yBUWqxW8w,uSlQ5CLkoW8,manipulated,FALSE
مرکه له شاهد انور سره - Amazon Business - Interview with Shahid Anwar || Ulearna پښتو,https://www.youtube.com/watch?v=grMtBd6drSY,https://i.ytimg.com/vi/grMtBd6drSY/hqdefault.jpg,grMtBd6drSY,TRUE,TRUE
Are Monami And Balli In Danger? - Ziddi Dil Maane Na - Ep 191 - Full Episode - 16 April 2022,https://youtube.com/watch?v=lO55lbhmQEw,https://i.ytimg.com/vi/lO55lbhmQEw/hqdefault.jpg,lO55lbhmQEw,TRUE,TRUE
DELETED | To Be Honest 3.0 | Komal Rizvi | Tabish Hashmi | Full Episode | Nashpati Prime,https://www.youtube.com/watch?v=nyP-e923qFA,https://i.ytimg.com/vi/nyP-e923qFA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBazr9VHSFta-7NWnngIGDpeiTb1A,nyP-e923qFA,paroday,FALSE
